Jam,temperature,humidity,light,pH,EC,TDS,WaterTemp,Label,Pattern
15.15,25.5,67,17660,6.4,855,427,29.7,Selada,1
17.22,26.9,80,86930,6.7,929,464,27,Selada,1
7.33,25.7,77,23320,6.1,900,449,25.4,Selada,1
9.18,26.6,69,32280,6.7,887,443,26.1,Selada,1
10.39,25.8,65,41750,6.6,967,482,25.7,Selada,1
11.35,27.2,59,50670,6.8,964,482,26.6,Selada,1
12.44,27.2,64,24310,6.5,998,499,26.7,Selada,1
13.58,26.3,71,17720,6.5,987,499,26.5,Selada,1
15.55,25.3,87,1168,6.4,976,490,26.5,Selada,1
17.01,25.6,83,3613,6.5,953,463,26.1,Selada,1
8.35,24.8,97,8799,6.7,952,476,24.6,Selada,1
8.53,24.7,92,5550,6.5,967,483,24.6,Selada,1
10.01,25.8,91,38410,6.8,972,486,25.7,Selada,1
11.07,25.9,81,11330,6.3,976,488,26.3,Selada,1
12.12,25.9,84,10870,6.6,983,493,26.3,Selada,1
13.22,27.6,56,31590,6.4,998,499,27,Selada,1
14.35,26.5,81,1633,6.4,964,483,26.2,Selada,1
15.39,26.2,86,2100,6.6,972,507,26.5,Selada,1
7.41,24.5,99,6623,6.4,918,459,24.6,Selada,1
9.11,24.7,99,8735,6.4,918,459,24.6,Selada,1
10.23,25.7,99,11480,6.3,915,457,25.5,Selada,1
11.35,26.6,99,20430,6.3,915,465,26.4,Selada,1
12.42,27.8,92,19890,6.3,929,482,26.7,Selada,1
13.55,27,88,14360,6.4,952,459,27.1,Selada,1
15.12,27.1,90,10550,6.4,929,464,27.5,Selada,1
16.26,28.4,87,4673,6.4,922,476,27,Selada,1
7.52,24.1,99,7705,6.4,900,450,24.5,Selada,1
9.06,24.5,89,18120,6.3,915,457,24.5,Selada,1
10.31,26.5,91,24690,6.3,926,478,26.6,Selada,1
11.33,26.5,88,51750,6.4,914,460,28,Selada,1
12.42,28,77,41690,6.3,967,483,27.7,Selada,1
13.54,28.4,78,37820,6.3,905,462,28.3,Selada,1
15.03,27.8,83,6650,6.5,952,478,27,Selada,1
16.15,25.5,85,10930,6.4,922,463,27.6,Selada,1
7.42,24.9,92,2243,6.1,915,454,25,Selada,1
8.56,24.6,99,1542,6.3,915,457,24,Selada,1
9.59,24.4,99,2116,6.3,918,461,24.6,Selada,1
11.18,24.9,99,11450,6.4,911,461,24.8,Selada,1
12.54,25.1,99,9097,6.2,918,459,25.3,Selada,1
14.01,25.1,93,8390,6.3,956,478,24.7,Selada,1
15.32,25.3,99,11440,6.5,915,455,25,Selada,1
16.38,25.4,91,9184,6.5,984,459,25.4,Selada,1
7.32,24,99,4120,6.2,908,454,24.4,Selada,1
8.44,24.1,99,13060,6.3,915,457,24.1,Selada,1
